zonei,areakey,lat,lon,osgb36_east,osgb36_north,area
0,E02000001,51.515,-0.09051585,532482.75,181269.56,2897837.5
1,E02000002,51.58842,0.14111018,548312.7,189878.02,2161565
2,E02000003,51.5751,0.14255846,548456.44,188399.88,2141516
3,E02000004,51.555622,0.17848448,551010,186307.53,2492948
4,E02000005,51.561592,0.14494881,548666.1,186902.6,1187953
5,E02000007,51.55827,0.15900412,549651.06,186562.12,1735997.9
6,E02000008,51.55282,0.13695835,548140.9,185910.88,1419999
7,E02000009,51.551743,0.119993955,546968.44,185757.1,960733.6
8,E02000010,51.54705,0.15002777,549065.6,185296.1,1121450.5
9,E02000011,51.54546,0.17075583,550507.8,185161.84,1594084.6
10,E02000012,51.54433,0.10044706,545637.1,184893.77,1300306.4
11,E02000013,51.543556,0.124068305,547277.25,184855.19,1304516.2
12,E02000014,51.54047,0.14567825,548785.56,184555.64,1193021.9
13,E02000015,51.537186,0.16415623,550077.5,184228.48,1361638.9
14,E02000016,51.53954,0.07700817,544027.25,184314.84,886276.7
15,E02000017,51.540638,0.08875169,544838,184460.27,876572
16,E02000018,51.538746,0.11340401,546553.4,184298.94,1357709.6
17,E02000019,51.528954,0.13622099,548167.25,183256.03,3037715
18,E02000020,51.524876,0.10628594,546104.25,182742.27,3419197
19,E02000021,51.524734,0.15532064,549505.7,182825.64,2880290.5
20,E02000022,51.532265,0.08186732,544387.2,183515.39,748742.9
21,E02000023,51.528027,0.11433353,546652.25,183108.88,1745397.4
22,E02000024,51.658237,-0.20115629,524415,197002.27,3753633
23,E02000025,51.655334,-0.17875531,525972.3,196717.78,2401920
24,E02000026,51.64806,-0.15433379,527681.8,195951.42,1465746.8
25,E02000027,51.645588,-0.20173109,524409.94,195594.77,1674257.4
26,E02000028,51.644424,-0.1763096,526171.75,195508.94,1055622.4
27,E02000029,51.642673,-0.1608677,527244.94,195340.83,1684525
28,E02000030,51.638596,-0.22614972,522739.56,194775.9,14578680
29,E02000031,51.63295,-0.17224413,526484.94,194239.84,1938965.4
